[ Valid | 149/500 ] loss = 1.02792, acc = 0.80701
[ Valid | 150/500 ] loss = 1.01509, acc = 0.81401
[ Valid | 151/500 ] loss = 1.01487, acc = 0.81092
[ Valid | 152/500 ] loss = 1.01718, acc = 0.81224
[ Valid | 153/500 ] loss = 1.01678, acc = 0.81423
[ Valid | 154/500 ] loss = 1.01477, acc = 0.81190
[ Valid | 155/500 ] loss = 1.01724, acc = 0.81261
[ Valid | 156/500 ] loss = 1.02034, acc = 0.81279
[ Valid | 157/500 ] loss = 1.02411, acc = 0.81245
[ Valid | 158/500 ] loss = 1.01749, acc = 0.81409
[ Valid | 159/500 ] loss = 1.02185, acc = 0.81142
[ Valid | 160/500 ] loss = 1.01952, acc = 0.81464
[ Valid | 161/500 ] loss = 1.01003, acc = 0.81409
[ Valid | 162/500 ] loss = 1.00945, acc = 0.81286
[ Valid | 163/500 ] loss = 1.00961, acc = 0.81492
[ Valid | 164/500 ] loss = 1.01140, acc = 0.81391
[ Valid | 165/500 ] loss = 1.00834, acc = 0.81645 -> best
[ Valid | 166/500 ] loss = 1.00763, acc = 0.81448
[ Valid | 167/500 ] loss = 1.01197, acc = 0.81633
[ Valid | 168/500 ] loss = 1.01128, acc = 0.81336
[ Valid | 169/500 ] loss = 1.00714, acc = 0.81563
[ Valid | 170/500 ] loss = 1.00767, acc = 0.81142
[ Valid | 171/500 ] loss = 1.00438, acc = 0.81688 -> best
[ Valid | 172/500 ] loss = 1.00855, acc = 0.81663
[ Valid | 173/500 ] loss = 1.00927, acc = 0.81055
[ Valid | 174/500 ] loss = 1.01094, acc = 0.81076
[ Valid | 175/500 ] loss = 1.01069, acc = 0.81533
[ Valid | 176/500 ] loss = 1.01444, acc = 0.80907
[ Valid | 177/500 ] loss = 1.00954, acc = 0.81282
[ Valid | 178/500 ] loss = 1.00917, acc = 0.81528
[ Valid | 179/500 ] loss = 1.01082, acc = 0.81181
[ Valid | 180/500 ] loss = 1.00873, acc = 0.81177
[ Valid | 181/500 ] loss = 1.01173, acc = 0.81062
[ Valid | 182/500 ] loss = 1.00707, acc = 0.81503
[ Valid | 183/500 ] loss = 1.00160, acc = 0.81508
[ Valid | 184/500 ] loss = 1.00572, acc = 0.81124
[ Valid | 185/500 ] loss = 1.00541, acc = 0.81542
[ Valid | 186/500 ] loss = 1.00183, acc = 0.81437
[ Valid | 187/500 ] loss = 1.00019, acc = 0.81549
[ Valid | 188/500 ] loss = 1.00219, acc = 0.81588
[ Valid | 189/500 ] loss = 0.99965, acc = 0.81387
[ Valid | 190/500 ] loss = 1.00021, acc = 0.81807 -> best
[ Valid | 191/500 ] loss = 1.00386, acc = 0.81688
[ Valid | 192/500 ] loss = 1.00363, acc = 0.81506
[ Valid | 193/500 ] loss = 1.00482, acc = 0.81368
[ Valid | 194/500 ] loss = 1.00348, acc = 0.81327
[ Valid | 195/500 ] loss = 1.00229, acc = 0.81665
[ Valid | 196/500 ] loss = 1.00183, acc = 0.81643
[ Valid | 197/500 ] loss = 1.00235, acc = 0.81462
[ Valid | 198/500 ] loss = 1.00364, acc = 0.81444
[ Valid | 199/500 ] loss = 1.00006, acc = 0.81718
[ Valid | 200/500 ] loss = 1.00371, acc = 0.81576
[ Valid | 201/500 ] loss = 1.00105, acc = 0.81279
[ Valid | 202/500 ] loss = 1.00009, acc = 0.81501
[ Valid | 203/500 ] loss = 0.99964, acc = 0.81770
[ Valid | 204/500 ] loss = 1.00049, acc = 0.81723
[ Valid | 205/500 ] loss = 1.00001, acc = 0.81723
[ Valid | 206/500 ] loss = 0.99979, acc = 0.81661
[ Valid | 207/500 ] loss = 1.00180, acc = 0.81706
[ Valid | 208/500 ] loss = 1.00170, acc = 0.81471
[ Valid | 209/500 ] loss = 0.99822, acc = 0.82054 -> best
[ Valid | 210/500 ] loss = 0.99997, acc = 0.81853
[ Valid | 211/500 ] loss = 0.99947, acc = 0.81508
[ Valid | 212/500 ] loss = 0.99990, acc = 0.81665
[ Valid | 213/500 ] loss = 1.00122, acc = 0.81583
[ Valid | 214/500 ] loss = 1.00234, acc = 0.81565
[ Valid | 215/500 ] loss = 1.00091, acc = 0.81434
[ Valid | 216/500 ] loss = 1.00281, acc = 0.81613
[ Valid | 217/500 ] loss = 1.00100, acc = 0.81672
[ Valid | 218/500 ] loss = 1.00044, acc = 0.81743
[ Valid | 219/500 ] loss = 1.00308, acc = 0.81364
[ Valid | 220/500 ] loss = 0.99967, acc = 0.82074 -> best
[ Valid | 221/500 ] loss = 0.99866, acc = 0.81643
[ Valid | 222/500 ] loss = 1.00095, acc = 0.81763
[ Valid | 223/500 ] loss = 1.00178, acc = 0.81626
[ Valid | 224/500 ] loss = 1.00115, acc = 0.81618
[ Valid | 225/500 ] loss = 1.00160, acc = 0.81766
[ Valid | 226/500 ] loss = 1.00152, acc = 0.81480
[ Valid | 227/500 ] loss = 1.00120, acc = 0.81773
[ Valid | 228/500 ] loss = 1.00147, acc = 0.81867
[ Valid | 229/500 ] loss = 1.00319, acc = 0.81661
[ Valid | 230/500 ] loss = 1.00158, acc = 0.81757
[ Valid | 231/500 ] loss = 1.00306, acc = 0.81588
[ Valid | 232/500 ] loss = 1.00287, acc = 0.81626
[ Valid | 233/500 ] loss = 1.00267, acc = 0.81688
[ Valid | 234/500 ] loss = 1.00410, acc = 0.81572
[ Valid | 235/500 ] loss = 1.00174, acc = 0.81990
[ Valid | 236/500 ] loss = 1.00259, acc = 0.81618
[ Valid | 237/500 ] loss = 1.00307, acc = 0.81661
[ Valid | 238/500 ] loss = 1.00221, acc = 0.81613
[ Valid | 239/500 ] loss = 1.00592, acc = 0.81492
[ Valid | 240/500 ] loss = 1.00143, acc = 0.81878
[ Valid | 241/500 ] loss = 1.00269, acc = 0.81697
[ Valid | 242/500 ] loss = 1.00200, acc = 0.81718
[ Valid | 243/500 ] loss = 1.00273, acc = 0.81745
[ Valid | 244/500 ] loss = 1.00112, acc = 0.81640
[ Valid | 245/500 ] loss = 1.00113, acc = 0.81583
[ Valid | 246/500 ] loss = 1.00047, acc = 0.81601
[ Valid | 247/500 ] loss = 1.00253, acc = 0.81743
[ Valid | 248/500 ] loss = 1.00194, acc = 0.81636
[ Valid | 249/500 ] loss = 1.00048, acc = 0.81887
[ Valid | 250/500 ] loss = 1.00036, acc = 0.81782
[ Valid | 251/500 ] loss = 1.00181, acc = 0.81576
[ Valid | 252/500 ] loss = 1.00052, acc = 0.81663
[ Valid | 253/500 ] loss = 1.00247, acc = 0.81480
[ Valid | 254/500 ] loss = 1.00059, acc = 0.82074
[ Valid | 255/500 ] loss = 1.00291, acc = 0.81759
[ Valid | 256/500 ] loss = 1.00287, acc = 0.81830
[ Valid | 257/500 ] loss = 1.00093, acc = 0.81905
[ Valid | 258/500 ] loss = 1.00143, acc = 0.81937
[ Valid | 259/500 ] loss = 1.00184, acc = 0.81615
[ Valid | 260/500 ] loss = 1.00122, acc = 0.81693
[ Valid | 261/500 ] loss = 1.00341, acc = 0.81695
